  ID       E_NAME            cluster      X(m)         Y(m)         Z(m)
021034  HIGASHIHIROSHIMA       A5    -3565644.244  3870822.270  3591658.143
021035  KAMAGARI               A5    -3581367.144  3882183.343  3563430.044
021036  KURAHASHI              A5    -3575344.540  3897482.276  3552833.192
021037  TOKUJI                 A5    -3515768.707  3941117.435  3564566.987
021038  SHUUTOU                A5    -3541798.971  3926293.403  3554769.696
021039  SANYOU                 A5    -3479753.297  3987084.242  3548360.361
021040  KAMINOSEKI             A5    -3556560.905  3933368.920  3532319.405
021041  SANAGOUCHI             A4    -3707620.531  3778530.646  3545930.639
021042  KOYADAIRA              A4    -3694061.432  3797206.403  3540638.551
021043  HIGASHIIYAYAMA         A4    -3677520.657  3818598.215  3535261.745
021044  TONOSHOU               A4    -3667920.749  3774971.633  3590378.913
021045  SAKAIDE                A4    -3656262.524  3799500.530  3576385.684
021046  NIIHAMA                A4    -3634743.896  3850265.044  3544093.883
021047  TANBARA                A4    -3618139.722  3873550.242  3535824.171
021048  HIROTA                 A4    -3611536.046  3900305.297  3513712.223
021049  HIROMI                 A4    -3621743.074  3918845.737  3482393.026
021050  TSUSHIMA               A4    -3622852.160  3935182.324  3463044.536
021051  TOSAYAMA               A4    -3661795.873  3854545.097  3512125.880
021052  IKEGAWA                A4    -3637186.135  3879380.241  3510402.482
021053  KOUCHIKITAGAWA         A4    -3705251.395  3823614.050  3500148.388
021054  HIGASHITSUNO           A4    -3640833.780  3892103.208  3492878.477
021055  MUROTO2                A4    -3716633.222  3821159.389  3490634.827
021056  TAISHOU                A4    -3641972.972  3909348.388  3472007.069
021057  KOUCHISAGA             A4    -3655577.863  3905716.177  3461587.086
021058  NAKAMURA               A4    -3641832.672  3928491.995  3450362.002
021059  SUKUMO                 A4    -3631992.801  3955933.616  3429709.813
021060  KITAKYUUSHUU1          A5    -3456158.809  4014976.400  3540004.006
021061  KITAKYUUSHUU2          A5    -3476098.575  4002867.067  3534231.469
021062  FUKUOKA                A5    -3436097.277  4052150.606  3517278.290
021063  KEISEN                 A5    -3466958.376  4034175.400  3507751.282
021064  TSUIKI                 A5    -3490114.560  4015565.127  3506454.146
021065  NIJOU                  A5    -3427790.849  4073623.121  3500641.332
021066  TAKU                   A5    -3437385.455  4082428.946  3481120.804
021067  KAWATANA               A5    -3429147.762  4106608.219  3460805.044
021068  NAGASAKI2              A5    -3447861.247  4114985.543  3432431.741
021069  KUMAMOTOMIKAWA         A5    -3483771.025  4061462.178  3459589.966
021070  KIKUCHI                A5    -3504181.136  4049240.678  3453738.598
021071  JOUNAN                 A5    -3506527.326  4069759.580  3426907.595
021072  YABE                   A5    -3524355.008  4056882.693  3424675.798
021073  ITSUKI                 A5    -3524501.947  4079237.020  3397782.471
021074  SHINWA                 A5    -3479131.907  4119928.939  3394951.478
021075  KUMA                   A5    -3514375.659  4092119.995  3392878.349
021076  KUMAMOTOMIZUKAMI       A5    -3539779.818  4074004.295  3388003.328
021077  BUNGOTAKADA            A5    -3528793.480  3985610.040  3501727.875
021078  INNAI                  A5    -3518103.247  4005746.220  3489676.258
021079  USUKI                  A5    -3561489.347  3990534.530  3462928.427
021080  YONOUZU                A5    -3588147.328  3979583.956  3448057.651
